Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url
"Carros, vans e utilitários",RENAULT LOGAN,RENAULT,Passeio,2012,148000,1.6,Flex,Automático,Hidráulica,Outra,4 portas,9,69313165,Boa Vista,Jóquei Clube,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-por-carro-utilitario-881709536
"Carros, vans e utilitários",KIA MOTORS BESTA GS GRAND 3.0 8V 16L DIESEL,KIA MOTORS,Van/Utilitário,2002,235450,3.0 - 3.9,Diesel,Manual,Hidráulica,Azul,4 portas,0,69300000,Boa Vista,,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/van-kia-besta-3-0-diesel-881508859
"Carros, vans e utilitários",FORD RANGER XLS 3.2 20V 4X4 CS DIESEL,FORD,Pick-up,2020,6000,3.0 - 3.9,Diesel,Automático,Elétrica,Cinza,4 portas,5,69301370,Boa Vista,Centro,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-2020-2021-881551447
"Carros, vans e utilitários",FORD FIESTA SEDAN SE 1.6 16V FLEX 4P,FORD,Sedã,2012,0,1.6,Flex,Manual,Hidráulica,Cinza,4 portas,7,69309399,Boa Vista,Pricumã,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/venda-ford-fiesta-881467762
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,,2000,111111,,,Manual,,Azul,4 portas,,69305050,Boa Vista,São Francisco,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/golf-2000-881417418
"Carros, vans e utilitários",RENAULT SANDERO,RENAULT,,2020,64000,,Flex,Manual,Mecânica,Prata,4 portas,6,69301080,Boa Vista,Centro,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-zen-881477368
"Carros, vans e utilitários",TOYOTA COROLLA DYNAMIC 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2017,56000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,3,69303450,Boa Vista,São Vicente,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/corolla-881452231
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1000 MI 4P,VW - VOLKSWAGEN,Passeio,2003,2222222525,1.0,,Manual,Mecânica,Cinza,2 portas,3,69314112,Boa Vista,Santa Tereza,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/go-881442187
"Carros, vans e utilitários",FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CD,FIAT,Passeio,2016,68779,1.4,Flex,Manual,Hidráulica,Cinza,2 portas,8,69316560,Boa Vista,Senador Hélio Campos,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-picape-strada-working-nova-881411879
"Carros, vans e utilitários",FIAT SIENA 1.0/ EX 1.0 MPI FIRE/ FIRE FLEX 8V,FIAT,Passeio,2008,90000,1.0,Gasolina,Manual,Hidráulica,Prata,4 portas,7,69317302,Boa Vista,Equatorial,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-se-um-siena-881392622
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,Hatch,2012,180000,1.0,Flex,Manual,Hidráulica,Azul,4 portas,9,69313035,Boa Vista,Jóquei Clube,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-881384695
"Carros, vans e utilitários",GM - CHEVROLET CORSA HAT. PREM. 1.0/1.0 FLEXPOWER 8V 5P,GM - CHEVROLET,Passeio,1997,1000,1.0,Gasolina,Manual,Hidráulica,Branco,2 portas,1,69316730,Boa Vista,Pintolândia,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/troco-em-moto-esta-atrasado-e-tem-uma-muta-881390806
"Carros, vans e utilitários", ,,,2022,2,,,,,,,,69316192,Boa Vista,Nova Cidade,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-motor-com-bomba-881165761
"Carros, vans e utilitários",GM - CHEVROLET TRACKER LTZ 1.4 TURBO 16V FLEX 4X2 AUT.,GM - CHEVROLET,SUV,2017,54500,1.4,Flex,Automático,Elétrica,Vermelho,4 portas,5,69309050,Boa Vista,Liberdade,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-1-4-turbo-ltz-2017-2017-881311103
"Carros, vans e utilitários",VW - VOLKSWAGEN KOMBI LOTAÇÃO 1.4 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,Van/Utilitário,2012,217000,1.4,Flex,Manual,Mecânica,,,8,69316484,Boa Vista,Senador Hélio Campos,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-kombi-2012-tel-881213297
"Carros, vans e utilitários",FORD ,FORD,,1993,3000,1.6,Gasolina,,Mecânica,,2 portas,,69312148,Boa Vista,Jardim Floresta,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-se-essa-pampa-cabine-dupla-867165894
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2015,75800,,Flex,Automático,,Prata,4 portas,3,69309099,Boa Vista,Liberdade,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-completo-2015-881174340
"Carros, vans e utilitários",FORD FIESTA CLASS 1.0 4P,FORD,Passeio,2007,97000,1.0,Gasolina,Manual,Mecânica,Preto,4 portas,7,69314188,Boa Vista,Jardim Primavera,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-ford-fiesta--completo-ano-2007-bem-conservado-da-cor-preto-881233245
"Carros, vans e utilitários",FIAT PALIO 1.0 CELEBR. ECONOMY F.FLEX 8V 2P,FIAT,Passeio,1996,10000000,1.0,Gasolina,Manual,Hidráulica,Branco,4 portas,3,69317589,Boa Vista,Cidade Satélite,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/carro-881158157
"Carros, vans e utilitários",FORD ECOSPORT XLS 1.6/ 1.6 FLEX 8V 5P,FORD,Passeio,2007,0,1.6,Flex,Manual,Hidráulica,Azul,4 portas,9,69311134,Boa Vista,Cauamé,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-este-ecosport-ano-06-07-881131648
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE 1.0 FLEX 12V 4P,VW - VOLKSWAGEN,Passeio,2009,0,1.0,Flex,Manual,Mecânica,Branco,4 portas,2,69360000,Caracaraí,,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/viyagem-1-0-2009-881163525
"Carros, vans e utilitários",VW - VOLKSWAGEN PARATI COMFORTLINE 1.8 MI TOT.FLEX 8V 4P,VW - VOLKSWAGEN,Passeio,2001,17584,1.8,Gasolina,Manual,Hidráulica,Azul,4 portas,8,69316018,Boa Vista,Raiar do Sol,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/carro-parati-881119270
"Carros, vans e utilitários",VW - VOLKSWAGEN KOMBI,VW - VOLKSWAGEN,Van/Utilitário,2003,20000,1.6,Gasolina,Manual,Mecânica,Branco,4 portas,1,69306610,Boa Vista,São Pedro,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-um-kombi-2003-em-dias-881103578
"Carros, vans e utilitários",FIAT FIORINO PICK-UP LX (TODAS),FIAT,Pick-up,1994,100000,,Gasolina,Manual,Mecânica,Branco,2 portas,6,69317801,Boa Vista,Cidade Satélite,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-se-fiorino-881104211
"Carros, vans e utilitários",GM - CHEVROLET A-10,GM - CHEVROLET,Passeio,2008,55555,1.0,Flex,,,Outra,4 portas,7,69318764,Boa Vista,Dr. Airton Rocha,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-por-carro-e-moto-881102832
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,Passeio,2010,140000,1.0,Gasolina,Manual,Hidráulica,Preto,2 portas,7,69313442,Boa Vista,Cambará,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/celta-spirit-2011-881100228
"Carros, vans e utilitários",GM - CHEVROLET CORSA SED.WIND 1.0/MILLENIUM/CLASSIC VHC,GM - CHEVROLET,Passeio,1996,5047,1.0,Gasolina,Automático,Hidráulica,Cinza,2 portas,5,69314497,Boa Vista,Doutor Sílvio Botelho,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-win-881059795
"Carros, vans e utilitários",NISSAN LIVINA S 1.6 16V FLEX FUEL MEC.,NISSAN,Van/Utilitário,2010,100000,1.8,Flex,Manual,Hidráulica,Amarelo,4 portas,,69312302,Boa Vista,Asa Branca,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/nissan-livina-881025831
"Carros, vans e utilitários",FIAT UNO WAY 1.0 EVO FIRE FLEX 8V 5P,FIAT,Hatch,2007,142888,1.0,Gasolina,Manual,Mecânica,Branco,4 portas,3,69313185,Boa Vista,Jóquei Clube,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-fiat-uno-5-500-881042500
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE 1.0/1.0 CITY MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2015,126000,1.0,Gasolina,Manual,Hidráulica,Branco,4 portas,3,69316484,Boa Vista,Senador Hélio Campos,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/voyagem-2015-ja-finaciado-881024014
"Carros, vans e utilitários",TOYOTA HILUX CD SR5 4X4 2.8 DIESEL,TOYOTA,Pick-up,2018,40000,2.0 - 2.9,Diesel,Automático,Hidráulica,Vermelho,4 portas,3,69309010,Boa Vista,Liberdade,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/hilux-879295584
"Carros, vans e utilitários",GM - CHEVROLET CORSA WIND 1.6 MPFI 2P,GM - CHEVROLET,Passeio,1999,8,1.6,Gasolina,Manual,Hidráulica,,4 portas,9,69313498,Boa Vista,Tancredo Neves,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/corsa-surpee-881028503
"Carros, vans e utilitários",VW - VOLKSWAGEN PARATI CL 1.8 MI 2P E 4P,VW - VOLKSWAGEN,Passeio,1994,0,1.8,Gasolina,Manual,Mecânica,Vermelho,2 portas,0,69312381,Boa Vista,Cinturão Verde,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/parati-94-881020468
"Carros, vans e utilitários",RENAULT CLIO AUTHENTIQUE HI-FLEX 1.0 16V 5P,RENAULT,Hatch,2014,9999,1.0,Flex,Manual,Hidráulica,Preto,4 portas,1,69314466,Boa Vista,Doutor Sílvio Botelho,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/renault-clio-880964880
"Carros, vans e utilitários",MITSUBISHI L200 GL 2.5 4X4 CD DIESEL,MITSUBISHI,Conversível,2017,70000,4.0 ou mais,Diesel,Manual,Hidráulica,Branco,4 portas,2,69316518,Boa Vista,Senador Hélio Campos,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/l200-triton-2017-2018-880994453
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX 1.0 MI TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2008,141000,,Flex,Manual,,Preto,4 portas,4,69305460,Boa Vista,Estados,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/fox-2008-880918391
"Carros, vans e utilitários",TOYOTA HILUX CD SRV 4X2 2.7 16V 142CV,TOYOTA,Pick-up,2014,140000,2.0 - 2.9,Flex,Automático,Hidráulica,,4 portas,8,69312357,Boa Vista,Cinturão Verde,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/para-choque-traseiro-reforcado-da-hillux-880962241
"Carros, vans e utilitários",JEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT.,JEEP,SUV,2020,11000,,Flex,Automático,Elétrica,Azul,4 portas,2,69307051,Boa Vista,Paraviana,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-jeep-compass-limited-com-teto-solar-ano-2020-880919486
"Carros, vans e utilitários",GM - CHEVROLET CHEVETTE L / SL / SL/E / DL / SE 1.6,GM - CHEVROLET,Conversível,1991,532123,2.0 - 2.9,Gasolina,Manual,Mecânica,Azul,2 portas,1,69316112,Boa Vista,Bela Vista,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-se-chevett-880949055
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Hatch,1998,8855455696,1.0,Gasolina,Manual,Hidráulica,Vermelho,4 portas,,69305510,Boa Vista,Estados,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-por-moto-corsa-classic-97-98-em-dias-direcao-som-880890859
"Carros, vans e utilitários",CITROEN ,CITROEN,Hatch,2005,168,1.6,Gasolina,Manual,Hidráulica,Cinza,4 portas,5,69373000,Rorainópolis,,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/carro-880900403
"Carros, vans e utilitários",GM - CHEVROLET S10 P-UP ADVANT. 2.4/2.4 MPFI F.POWER CD,GM - CHEVROLET,Pick-up,2007,150,2.0 - 2.9,Gasolina,Manual,Hidráulica,Preto,4 portas,9,69317195,Boa Vista,Alvorada,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/s10-super-conservada-880914272
"Carros, vans e utilitários",FIAT FIORINO PICK-UP 1.5 I.E./1.3/1.5/HD,FIAT,Van/Utilitário,1994,90,1.5,Gasolina,Manual,Mecânica,Verde,2 portas,0,69317290,Boa Vista,Alvorada,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/fiorino-1994-880778492
"Carros, vans e utilitários",GM - CHEVROLET S10 P-UP EXECUTIVE 2.4 MPFI F.POWER CD,GM - CHEVROLET,Pick-up,2011,143000,2.0 - 2.9,Flex,Manual,Hidráulica,Preto,4 portas,7,69303150,Boa Vista,Calungá,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/s10-executive-flex-apto-a-financiar-880747435
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE/ LS 1.0 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2012,210000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,4,69312172,Boa Vista,Caimbé,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/celta-12-12-880724942
"Carros, vans e utilitários",GM - CHEVROLET OMEGA GLS 2.2 / 2.0,GM - CHEVROLET,Sedã,1994,170000,2.0 - 2.9,Gasolina,Manual,Hidráulica,Vermelho,4 portas,8,69317529,Boa Vista,Cidade Satélite,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/omega-2-0-ano-94-880703686
"Carros, vans e utilitários",GM - CHEVROLET S10,GM - CHEVROLET,Pick-up,2008,115000,2.0 - 2.9,Flex,Manual,Hidráulica,Prata,4 portas,5,69373000,Rorainópolis,,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/s10-vendo-880633175
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,Hatch,2009,164221,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,7,69309184,Boa Vista,Buritis,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/celta-2009-880767070
"Carros, vans e utilitários",MITSUBISHI L200 OUTDOOR GLS 2.5 4X4 CD TDI DIESEL,MITSUBISHI,Pick-up,2010,250000,2.0 - 2.9,Diesel,Manual,Hidráulica,Prata,4 portas,7,69311104,Boa Vista,Cauamé,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/l200-outdoor-880626703
"Carros, vans e utilitários",GM - CHEVROLET CORSA HATCHBACK 1.0 MPFI 8V 71CV 5P,GM - CHEVROLET,Hatch,2000,10000000,1.0,Gasolina,Manual,Mecânica,Branco,4 portas,9,69317194,Boa Vista,Alvorada,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-880592224
"Carros, vans e utilitários",GM - CHEVROLET ONIX SEDAN PLUS LT 1.0 12V TB FLEX MEC.,GM - CHEVROLET,Sedã,2021,0,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,1,69304360,Boa Vista,Mecejana,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/onix-seda-plus-lt-turbo-0km-ano-2021-880591197
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2014,90000,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,2,69314117,Boa Vista,Santa Tereza,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/carro-semi-novo-880590288
"Carros, vans e utilitários",FIAT TORO FREEDOM 1.8 16V FLEX AUT.,FIAT,Passeio,2019,27506,,Flex,Automático,,,4 portas,0,69306405,Boa Vista,Nossa Senhora Aparecida,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2019-2019-1-8-16v-evo-flex-freedom-at6-880586020
"Carros, vans e utilitários",GM - CHEVROLET ASTRA ADVANT. 2.0 MPFI 8V FLEXP. 5P AUT.,GM - CHEVROLET,Passeio,2000,22300,2.0 - 2.9,Gasolina,Manual,Hidráulica,Verde,4 portas,,69360000,Caracaraí,,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/bruno-pereira-880581374
"Carros, vans e utilitários",GM - CHEVROLET MONTANA SPORT 1.4 ECONOFLEX 8V 2P,GM - CHEVROLET,Pick-up,2011,159000,1.4,Flex,Manual,Hidráulica,Preto,2 portas,0,69317529,Boa Vista,Cidade Satélite,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-montana-sport-2010-2011-880558055
"Carros, vans e utilitários",RENAULT SCENIC RT 2.0,RENAULT,Van/Utilitário,2000,0,2.0 - 2.9,Gasolina,Manual,Hidráulica,Azul,4 portas,1,69316108,Boa Vista,Bela Vista,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/leia-a-descricao-carro-top-com-ar-880511448
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX PLUS 1.0MI/ 1.0MI TOTAL FLEX 8V 3P,VW - VOLKSWAGEN,Passeio,2006,221000,1.0,Gasolina,Manual,Hidráulica,Preto,4 portas,7,69316798,Boa Vista,Pintolândia,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/fox-2005-6-880558786
"Carros, vans e utilitários",GM - CHEVROLET CORSA HAT. PREM. 1.0/1.0 FLEXPOWER 8V 5P,GM - CHEVROLET,Sedã,2000,180000,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,4,69300000,Boa Vista,,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/corsa-8-500-880555865
"Carros, vans e utilitários",GM - CHEVROLET ,GM - CHEVROLET,,1986,120000,,,,,,2 portas,,69308180,Boa Vista,Treze de Setembro,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/urgente-procura-se-880507657
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO CROSS 1.6 MI TOTAL FLEX 8V CE,VW - VOLKSWAGEN,Pick-up,2017,90000,1.6,Flex,Manual,,Azul,,9,69309366,Boa Vista,Pricumã,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/saveiro-cross-880495787
"Carros, vans e utilitários",GM - CHEVROLET MONTANA,GM - CHEVROLET,Pick-up,2011,105998,1.4,Flex,Manual,Hidráulica,Preto,2 portas,6,69303250,Boa Vista,Calungá,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/montana-ls1-4-880500255
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL COMFORTLINE 1.0 T. FLEX 12V 5P,VW - VOLKSWAGEN,Passeio,1994,10000000,1.0,Gasolina,Manual,Elétrica,Branco,2 portas,5,69340000,Mucajaí,,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/gol-quadrado-top-880494924
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2018,30000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,6,69308290,Boa Vista,Treze de Setembro,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-corolla-xei-branco-peroado-880477987
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX TRENDLINE 1.0 FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2011,86600,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,0,69312190,Boa Vista,Caimbé,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-se-fox-trend-880446238
"Carros, vans e utilitários",GM - CHEVROLET S10 P-UP TORNADO 2.8 TDI 4X2/4X4 CD DIES,GM - CHEVROLET,Pick-up,2008,160000,2.0 - 2.9,Diesel,Manual,Hidráulica,Azul,4 portas,3,69313610,Boa Vista,Caranã,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/s10-08-08-diesel-2-8-mwm-880463418
"Carros, vans e utilitários",FORD ESCORT,FORD,Antigo,1950 ou anterior,10000000,1.6,Gasolina,Semi-Automático,Hidráulica,Azul,2 portas,7,69314490,Boa Vista,Doutor Sílvio Botelho,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-um-escort-880401677
"Carros, vans e utilitários",NISSAN SENTRA S 2.0/ 2.0 FLEX FUEL 16V AUT.,NISSAN,Sedã,2009,15000,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,4 portas,9,69305060,Boa Vista,São Francisco,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/lindo-nissan-sentra-completao-leia-880440493
