Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url,Tipo de veículo
"Carros, vans e utilitários",PEUGEOT 307 SED.FELINE/GRIFF 2.0/2.0 FLEX 4P AUT,PEUGEOT,2007,165000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Prata,4 portas,2,94060000,Gravataí,São Vicente,17990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-307-sedan-feline-2-0-16v-aut-4p-860470403,
"Carros, vans e utilitários",PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2014,97000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,8,91020000,Porto Alegre,Navegantes,40000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-308-allure-2-0-automatico-impecavel-881794176,Passeio
"Carros, vans e utilitários",GM - CHEVROLET CRUZE HB SPORT LTZ 1.8 16V FLEXP. 5P AUT,GM - CHEVROLET,2013,89,1.8,Flex,Automático,Hidráulica,Preto,4 portas,9,95050705,Caxias do Sul,São Ciro,61900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/cruze-ltz-teto-solar-898691062,Hatch
"Carros, vans e utilitários",CITROEN C3 PICASSO GL 1.5 FLEX 8V MEC.,CITROEN,2012,120000,1.5,Flex,Manual,Elétrica,Branco,4 portas,2,91140000,Porto Alegre,Sarandi,32900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/picasso-c3-870364900,SUV
"Carros, vans e utilitários",RENAULT SYMBOL EXPRESSION HI-FLEX 1.6 8V 4P,RENAULT,2010,145000,1.6,Flex,Manual,Hidráulica,Preto,4 portas,8,91110580,Porto Alegre,Sarandi,18900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/symbol-expression-1-6-8v-2010-completo-821865779,Passeio
"Carros, vans e utilitários",RENAULT SYMBOL EXPRESSION HI-FLEX 1.6 8V 4P,RENAULT,2011,139069,1.6,Flex,Manual,Hidráulica,Prata,4 portas,7,91060591,Porto Alegre,São Sebastião,18990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-symbol-ex1616v-868481587,
"Carros, vans e utilitários",JEEP CHEROKEE SPORT  4.0 MEC./AUT.,JEEP,1998,200000,4.0 ou mais,Gasolina,Automático,Hidráulica,Azul,4 portas,7,93320105,Novo Hamburgo,Pátria Nova,19900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-cherokee-laredo-v6-4p-879017033,SUV
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2011,123239,2.0 - 2.9,Flex,Automático,,,,,97110800,Santa Maria,Camobi,50890.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-flex-16v-aut-2011-flex-888230415,
"Carros, vans e utilitários",FORD KA GL IMAGE 1.0I/ 1.0I ZETEC ROCAM,FORD,2003,160000,1.0,Gasolina,Manual,Hidráulica,Preto,2 portas,2,92330000,Canoas,Mathias Velho,12990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ka-1-0-completo-ano-2003-833351455,Hatch
"Carros, vans e utilitários",HYUNDAI HB20S C.PLUS/C.STYLE1.0 FLEX 12V MEC. 4P,HYUNDAI,2018,57000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,6,93950000,Dois Irmãos,,53900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-comfort-plus-1-0-flex-892361273,Sedã
"Carros, vans e utilitários",RENAULT SANDERO STEPWAY HI-POWER 1.6 8V 5P,RENAULT,2016,77000,1.6,Flex,Semi-Automático,Hidráulica,Laranja,4 portas,4,93210240,Sapucaia do Sul,Primor,46900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/sandero-stepway-1-6-895400012,Hatch
"Carros, vans e utilitários",NISSAN FRONTIER SV AT. CD 4X4 2.5 TB DIES. AUT.,NISSAN,2016,131000,2.0 - 2.9,Diesel,Automático,Hidráulica,Prata,4 portas,4,95702080,Bento Gonçalves,Imigrante,118000.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/frontier-sv-2-5-turbo-diesel-attack-2016-898690623,Pick-up
"Carros, vans e utilitários",CHERY TIGGO 2.0 16V MEC. 5P,CHERY,2011,120,,,Manual,,Preto,,,93260000,Esteio,São Sebastião,26900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/tiggo-2011-mecanica-854162415,
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,2010,99026,1.0,Flex,Manual,Elétrica,Cinza,4 portas,0,94810050,Alvorada,Passo do Feijó,26900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-1-0-economy-fire-flex-8v-4p-887633581,Hatch
"Carros, vans e utilitários",TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,TOYOTA,2019,63000,1.3,Flex,Manual,Elétrica,Branco,4 portas,8,94040001,Gravataí,São Jerônimo,47900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-hacht-1-3-x-completo-unico-dono-novo-880432163,Hatch
"Carros, vans e utilitários",FIAT ,FIAT,2013,155602,1.4,Flex,Manual,Hidráulica,Branco,4 portas,5,94810050,Alvorada,Passo do Feijó,39900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/grand-siena-tetrafuel-1-4-evo-f-flex-8v-890003987,Sedã
"Carros, vans e utilitários",CHRYSLER GRAND CARAVAN LX 3.8,CHRYSLER,1999,236000,3.0 - 3.9,Gasolina,Automático,Hidráulica,Preto,4 portas,7,96170000,São Lourenço do Sul,,14000.0,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/vendo-grand-caravam-898690390,Van/Utilitário
"Carros, vans e utilitários",HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V MEC. 4P,HONDA,2007,11111111,1.8,Gasolina,Manual,Hidráulica,Cinza,4 portas,0,99530000,Chapada,,36600.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/honda-ciciv-1-8-lxs-manual-871724032,Sedã
"Carros, vans e utilitários",MERCEDES-BENZ C-200 KOMPRESSOR CLASSIC 1.8 16V AUT.,MERCEDES-BENZ,2008,114000,1.8,Gasolina,Automático,Hidráulica,Prata,4 portas,,91110001,Porto Alegre,Sarandi,49900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/mercedes-benz-c200-k-placa-i-881527613,Sedã
"Carros, vans e utilitários",CITROEN C4 PALLAS GLX 2.0/ 2.0 FLEX AUT.,CITROEN,2013,95000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Preto,4 portas,9,95059275,Caxias do Sul,Jardim Eldorado,32900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/c4-pallas-2013-898690316,Sedã
"Carros, vans e utilitários",AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,2018,63000,1.4,Gasolina,Automático,Hidráulica,Preto,4 portas,9,91110000,Porto Alegre,São Sebastião,119900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/audi-q3-1-4-tfsi-4p-880557661,SUV
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE COMF/HIGHLI. 1.6 MI T.FLEX 8V 4P,VW - VOLKSWAGEN,2018,0,1.6,Flex,Manual,Hidráulica,Branco,4 portas,0,97110800,Santa Maria,Camobi,49900.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/voyage-comfortline-1-6-8v-flex-top-de-linha-889110768,Passeio
"Carros, vans e utilitários",FIAT GRAND SIENA,FIAT,2017,69937,,Flex,Manual,,Branco,4 portas,,95600000,Taquara,,42900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-grand-siena-1-0-evo-flex-attractive-manual-895470212,
,,,,,,,,,,,,,,,,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/palio-1-0-trofeo-1-0-fire-fire-flex-4p-898689957,
"Carros, vans e utilitários",GM - CHEVROLET S10 P-UP EXECUTIVE 2.4 MPFI F.POWER CD,GM - CHEVROLET,2011,999,2.0 - 2.9,Flex,Manual,Hidráulica,Branco,4 portas,9,93608350,Estância Velha,Rincão dos Ilhéus,59900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s10-executive-d-898691636,
"Carros, vans e utilitários",FORD FOCUS 1.8 16V 5P,FORD,2003,200000,1.8,Gasolina,Manual,Hidráulica,Cinza,4 portas,3,93420120,Novo Hamburgo,Santo Afonso,11900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-2003-completo-898690044,Hatch
"Carros, vans e utilitários",FORD RANGER,FORD,1997,229494,,Gasolina,Manual,Hidráulica,Vermelho,2 portas,1,99500000,Carazinho,,64900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-stx-ce-v6-768845880,
"Carros, vans e utilitários",HYUNDAI IX35 2.0 16V 170CV 2WD/4WD MEC.,HYUNDAI,2012,98000,2.0 - 2.9,Flex,Manual,Elétrica,Prata,4 portas,,94050000,Gravataí,COHAB A,56990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ix35-2-0-2012-889619662,Hatch
"Carros, vans e utilitários",FORD FIESTA SE 1.6 16V FLEX 5P,FORD,2017,46000,1.6,Flex,Manual,Elétrica,Azul,4 portas,8,93410115,Novo Hamburgo,Pátria Nova,46900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiesta-1-6-se-2017-impecavel-862237274,Passeio
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL TRENDLINE 1.0 T.FLEX 8V 5P,VW - VOLKSWAGEN,2009,82000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,8,94950000,Cachoeirinha,Vila Parque Brasília,19800.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vw-gol-g4-1-0-trend-2009-4-portas-completo-854969224,Hatch
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1000 (MODELO ANTIGO),VW - VOLKSWAGEN,1982,65000,1.6,Gasolina,Manual,,Branco,2 portas,9,91130720,Porto Alegre,Sarandi,5700.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/gol-1-0-ano-1982-895007933,Hatch
"Carros, vans e utilitários",FORD KA+ SEDAN 1.0 TIVCT FLEX 4P,FORD,2019,20000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,2,91130720,Porto Alegre,Sarandi,49900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ka-1-0-se-sedan-12v-ano-2018-2019-893980843,Sedã
"Carros, vans e utilitários",RENAULT MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT,2019,74368,,Diesel,Manual,Hidráulica,Branco,2 portas,1,91130720,Porto Alegre,Sarandi,146900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/master-furgao-l2h2-ano-2018-2019-856171185,Van/Utilitário
"Carros, vans e utilitários",FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P,FIAT,2013,88000,1.0,Flex,Manual,Mecânica,Branco,2 portas,3,95535000,Terra de Areia,,20000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/2013-com-ar-condicionado-898689363,Hatch
"Carros, vans e utilitários",LAND ROVER RANGE ROVER,LAND ROVER,2003,1,4.0 ou mais,Gasolina,Automático,Hidráulica,Azul,4 portas,1,95780000,Montenegro,,39900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/range-rover-vogue-hse-4-4-v8-32v-862844051,
"Carros, vans e utilitários",FIAT UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P,FIAT,2014,72000,1.0,Flex,Manual,Mecânica,Branco,2 portas,8,91340120,Porto Alegre,Passo da Areia,21900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-898689134,Hatch
"Carros, vans e utilitários",RENAULT KWID ZEN 1.0 FLEX 12V 5P MEC.,RENAULT,2022,5000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,9,95054000,Caxias do Sul,Nossa Senhora de Lourdes,48000.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/kwid-zen-1-0-879724923,Hatch
"Carros, vans e utilitários",RENAULT SYMBOL EXPRESSION HI-FLEX 1.6 16V 4P,RENAULT,2010,865481,1.6,Flex,Manual,Assistida,Cinza,4 portas,6,94950000,Cachoeirinha,Vila Parque Brasília,19800.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/symbol-expression-1-6-888198560,Sedã
"Carros, vans e utilitários",KIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT.,KIA MOTORS,2013,89000,2.0 - 2.9,Flex,Automático,Hidráulica,Outra,4 portas,6,95100000,Caxias do Sul,Floresta,70900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/sportage-ex-top-de-linha-com-teto-872004003,SUV
"Carros, vans e utilitários",FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT,2019,114200,,Flex,Manual,Hidráulica,Vermelho,2 portas,3,90610001,Porto Alegre,Partenon,49900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-working-hard-1-4-fire-flex-8v-cs-2p-881449987,Pick-up
"Carros, vans e utilitários",GM - CHEVROLET CORSA SED CLASS.LIFE 1.0/1.0 FLEXPOWER,GM - CHEVROLET,2001,99999,1.0,Gasolina,Manual,Mecânica,Prata,4 portas,3,98500000,Tenente Portela,,9500.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/corsa-sedan-898688706,Sedã
"Carros, vans e utilitários",FIAT PALIO WEEKEND TREKKING 1.6 FLEX 16V 5P,FIAT,2014,111,1.6,Flex,Manual,Hidráulica,Branco,4 portas,7,93821384,Sapiranga,Amaral Ribeiro,34900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-weekend-trekking-1-6-2014-completa-832643372,Van/Utilitário
"Carros, vans e utilitários",FORD ECOSPORT XLT FREESTYLE 1.6 FLEX 8V 5P,FORD,2015,68000,1.6,Flex,Manual,Elétrica,Branco,4 portas,5,92480000,Nova Santa Rita,,55000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ecosport-1-6-manual-898688643,Passeio
"Carros, vans e utilitários",GM - CHEVROLET JOY HATCH 1.0 8V FLEX 5P MEC,GM - CHEVROLET,2020,48845,,Flex,Manual,,,4 portas,7,91050371,Porto Alegre,Jardim Lindóia,49990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-joy-2020-2020-1-0-spe4-flex-manual-892649557,Passeio
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2013,173,,Gás Natural,Automático,Elétrica,Branco,4 portas,5,94910000,Cachoeirinha,Vila Santo Ângelo,45900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/cruze-2013-com-gnv-aceita-troca-abaixo-da-fipe-884904239,Sedã
"Carros, vans e utilitários",HYUNDAI HB20 UNIQUE 1.0 FLEX 12V MEC.,HYUNDAI,2019,48833,,Flex,Manual,,,4 portas,4,94070000,Gravataí,Bom Princípio,51990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-2019-2019-1-0-unique-12v-flex-4p-manual-888230312,Passeio
"Carros, vans e utilitários",FIAT PALIO SPORTING 1.6 FLEX 16V 5P,FIAT,2014,90000,1.6,Flex,Manual,Hidráulica,Amarelo,4 portas,8,96740000,Arroio dos Ratos,,39999.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-sporting-interlagos-2014-1-6-898688426,Hatch
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,2010,131000,1.0,Flex,Manual,,Branco,4 portas,,96540000,Agudo,,24900.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-1-0-ecomony-fire-flex-8v-4p-2010-flex-892873813,
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE 1.6/1.6 CITY  MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2014,0,1.6,Flex,Manual,Hidráulica,Branco,4 portas,4,91130720,Porto Alegre,Sarandi,28990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/voyage-city-1-6-2014-flex-completo-100-financiado-pelos-bancos-ex-taxi-865134359,Sedã
"Carros, vans e utilitários",FIAT PUNTO ATTRACTIVE 1.4 FIRE FLEX 8V 5P,FIAT,2015,100000,1.4,Flex,Manual,Hidráulica,Branco,4 portas,5,90460190,Porto Alegre,Petrópolis,38900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/punto-italia-2015-unico-dono-896704333,Hatch
"Carros, vans e utilitários",RENAULT KWID ZEN 1.0 FLEX 12V 5P MEC.,RENAULT,2019,41000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,5,96845820,Santa Cruz do Sul,Senai,41900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/kwid-zen-1-0--nico-dono-41-000-km-885746958,Hatch
"Carros, vans e utilitários",RENAULT MEGANE GRAND TOUR DYNAMIQUE 2.0 16V MEC.,RENAULT,2009,126000,2.0 - 2.9,Gasolina,Manual,Elétrica,Preto,4 portas,1,94935410,Cachoeirinha,COHAB,21900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/megane-grand-tour-dinamique-898687969,Passeio
"Carros, vans e utilitários",VOLVO XC 60 2.0 T5  5P,VOLVO,2014,81000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Preto,4 portas,9,97070805,Santa Maria,Nossa Senhora Medianeira,74797.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/volvo-xc60-t5-2-0-2013-2014-cor-preto-837845039,SUV
"Carros, vans e utilitários",AUDI A4 AMBIENTE 2.0 TFSI 190CV S TRONIC,AUDI,2018,32000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Prata,4 portas,0,98400000,Frederico Westphalen,,148500.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/audi-a4-ambiente-2018-889066981,Sedã
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,2013,1,1.0,Flex,Manual,Hidráulica,Branco,4 portas,5,93608350,Estância Velha,Rincão dos Ilhéus,25900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-2013-860792748,Hatch
"Carros, vans e utilitários",JEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT.,JEEP,2020,16500,2.0 - 2.9,Gasolina,Automático,Elétrica,Preto,4 portas,8,97070805,Santa Maria,Nossa Senhora Medianeira,147990.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-limited-2-0-2019-2020-cor-preto-16-500-km-877418577,SUV
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 TREND/ POWER 8V 4P,VW - VOLKSWAGEN,2017,83000,1.0,Flex,Manual,Elétrica,Vermelho,4 portas,2,91010001,Porto Alegre,Passo da Areia,39500.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/gol-trend-g7-2017-898003541,Hatch
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL GL 1.6 MI/STAR 1.6 E 1.8/ATLANTA 1.6,VW - VOLKSWAGEN,1994,100000,1.0,Gasolina,Manual,,Prata,2 portas,,99870000,São José do Ouro,,8400.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/gol-quadrado-motor-cht-ano94-prata-tem-somente-algumas-marcas-no-capo-do-sol-898687125,Antigo
"Carros, vans e utilitários",GM - CHEVROLET VECTRA EXPRES./ COLLECTION  2.0 MPFI 8V,GM - CHEVROLET,2005,200000,2.0 - 2.9,Gasolina,Manual,Hidráulica,Branco,4 portas,0,91120030,Porto Alegre,Sarandi,19990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vectra-expression-2-0-8v-869783560,Sedã
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2016,84000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Prata,4 portas,9,95880000,Estrela,,85000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-2-0-xei-898366701,Sedã
"Carros, vans e utilitários",FORD FIESTA SED. 1.6 8V FLEX 4P,FORD,2014,100000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,4,99709256,Erechim,Fátima,29900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-sedan-se-1-6-flex-2014-707367105,Sedã
"Carros, vans e utilitários",PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2012,131,1.4,Flex,Manual,Hidráulica,Branco,4 portas,3,91340110,Porto Alegre,Jardim Europa,21900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-207-1-4-xr-completo-2012-impecavel-803212809,Hatch
"Carros, vans e utilitários",GM - CHEVROLET JOY HATCH 1.0 8V FLEX 5P MEC,GM - CHEVROLET,2020,47975,,Flex,Manual,,,4 portas,7,97010200,Santa Maria,Centro,49900.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-joy-2019-2020-1-0-spe4-flex-manual-890140108,Passeio
"Carros, vans e utilitários",VW - VOLKSWAGEN AMAROK HIGHLINE CD 3.0 4X4 TB DIES. AUT.,VW - VOLKSWAGEN,2019,9372,3.0 - 3.9,Diesel,Automático,Hidráulica,Branco,4 portas,,95305000,Ibiraiaras,,240000.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/amarok-v6-898686743,Pick-up
"Carros, vans e utilitários",GM - CHEVROLET COBALT LTZ 1.4 8V FLEXPOWER/ECONOFLEX 4P,GM - CHEVROLET,2013,80000,1.4,Flex,Manual,Hidráulica,Prata,4 portas,9,93348460,Novo Hamburgo,Rincão,37900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/cobalt-ltz-1-4-2013-898686299,Sedã
"Carros, vans e utilitários",RENAULT DUSTER EXPRESSION 1.6 HI-FLEX 16V MEC.,RENAULT,2016,92000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,5,91110050,Porto Alegre,Sarandi,51900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/duster-1-6-2016-891756859,SUV
"Carros, vans e utilitários",HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,2015,79845,1.0,Flex,Manual,Hidráulica,Preto,4 portas,,94030001,Gravataí,COHAB C,38990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/lindo-hb20-1-0-completo-entrada-apartir-de-r-3-990-00-salda-ate-48x-876140071,Hatch
