Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url
"Carros, vans e utilitários",FIAT 500,FIAT,Passeio,2012,56318,1.4,Flex,Automático,Elétrica,Preto,2 portas,0,20270004,Rio de Janeiro,Maracanã,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-500-2012-cult-1-4-automatizado-ipva-21-pg-novo--894590457
"Carros, vans e utilitários",SUZUKI GRAND VITARA 2.0 16V 4X2/4X4 5P MEC.,SUZUKI,,2012,90000,,,,,,4 portas,,24358310,Niterói,Piratininga,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/grand-vitara-2-0-manual-4x2-2012-unico-dono-bancos-em-couro-839815908
"Carros, vans e utilitários",HYUNDAI 2.0 MPFI GLS 16V FLEX 4P AUTOMATICO,HYUNDAI,,2016,53500,2.0 - 2.9,Flex,Automático,,Preto,4 portas,,22790704,Rio de Janeiro,Recreio dos Bandeirantes,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-ix35-2-0-flex-automatico-2016-888988471
"Carros, vans e utilitários",FIAT ARGO DRIVE 1.0 6V FLEX,FIAT,,2019,49900,,Flex,Manual,,,4 portas,3,24751001,São Gonçalo,Tribobó,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/argo-drive-1-0-6v-flex-886229350
"Carros, vans e utilitários",FORD ECOSPORT FREESTYLE 1.5 12V FLEX 5P AUT.,FORD,SUV,2019,29000,1.5,Gás Natural,Automático,Elétrica,Vermelho,4 portas,,22740360,Rio de Janeiro,Pechincha,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/new-ecosport-1-5-freestyle-c-gnv-automatica-868629475
"Carros, vans e utilitários",FIAT STRADA,FIAT,Passeio,2012,0,1.8,Gás Natural,Manual,Mecânica,Cinza,2 portas,0,25565172,São João de Meriti,Jardim José Bonifácio,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-adventure-ce-cabine-estendida-1-8mpi-completo-com-gnv-2012-898510000
"Carros, vans e utilitários",RENAULT STEPWAY,RENAULT,SUV,2019,1,1.6,Flex,Manual,Hidráulica,Branco,4 portas,4,21750120,Rio de Janeiro,Magalhães Bastos,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-sandero-stepway-expression-2019-completo-gnv-ipva-transferencia-898509878
"Carros, vans e utilitários",JEEP RENEGADE LIM. EDIT. 1.8 4X2 FLEX 16V AUT,JEEP,SUV,2017,10000,1.8,Flex,Automático,Hidráulica,Cinza,4 portas,7,22793000,Rio de Janeiro,Barra da Tijuca,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/autos-compro-renegade-848168539
"Carros, vans e utilitários",FORD RANGER LIMITED 3.2 20V 4X4 CD AUT. DIES.,FORD,Pick-up,2017,102000,3.0 - 3.9,Diesel,Automático,Hidráulica,Branco,4 portas,0,28020740,Campos dos Goytacazes,Centro,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-cab-dupla-3-2-diesel-4x4-limited-2017-2017-898509973
"Carros, vans e utilitários",MERCEDES-BENZ SPRINTER 310 CHASSI DIESEL,MERCEDES-BENZ,Van/Utilitário,1997,198536,2.0 - 2.9,Diesel,Manual,Hidráulica,Vermelho,2 portas,7,26572510,Mesquita,Rocha Sobrinho,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/35-mil-pra-sair-hj-sprinter-310-898509736
"Carros, vans e utilitários",RENAULT DUSTER DYNAMIQUE 1.6 HI-FLEX 16V MEC.,RENAULT,SUV,2018,37000,1.6,Flex,Manual,Hidráulica,Outra,4 portas,0,23075007,Rio de Janeiro,Campo Grande,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/duster-2018-dynamique-1-6-muito-nova-oportunidade-891506951
"Carros, vans e utilitários",KIA MOTORS CERATO,KIA MOTORS,Passeio,2019,46000,1.6,Flex,Automático,Hidráulica,Preto,4 portas,3,20765000,Rio de Janeiro,Del Castilho,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kia-cerato-2019-1-6-sx-16v-flex-4p-automatico-893466283
"Carros, vans e utilitários",PEUGEOT 208 ACTIVE PACK 1.2 FLEX 12V 5P MEC.,PEUGEOT,Hatch,2018,49000,1.2,Flex,Manual,Elétrica,Prata,4 portas,,24350310,Niterói,Piratininga,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/208-km49-000-sem-entrada-21-97604-2548-824359840
"Carros, vans e utilitários",TOYOTA COROLLA ALTIS 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2013,78000,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,4 portas,5,21331720,Rio de Janeiro,Oswaldo Cruz,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-altis-2-0-dual-flex-2013-898509743
"Carros, vans e utilitários",HYUNDAI CRETA,HYUNDAI,Passeio,2018,34000,2.0 - 2.9,Flex,Automático,Elétrica,Prata,4 portas,5,26255620,Nova Iguaçu,da Luz,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-2018-2-0-16v-flex-sport-automatico-898509685
"Carros, vans e utilitários",HYUNDAI HB20S PREMIUM 1.6 FLEX 16V MEC. 4P,HYUNDAI,Sedã,2014,70000,1.6,Flex,Manual,Elétrica,Preto,4 portas,,26225291,Nova Iguaçu,Jardim Império,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20s-1-6-2014-muito-novo-866237455
"Carros, vans e utilitários",FORD KA,FORD,Passeio,2019,34000,1.5,Flex,Automático,Hidráulica,Cinza,4 portas,3,21331596,Rio de Janeiro,Bento Ribeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-1-5-ti-vct-flex-se-automatico-898509553
"Carros, vans e utilitários",FIAT FIORINO FURG.1.5/1.3/1.3 FIRE/1.3 F.FLEX,FIAT,Van/Utilitário,2010,190000,1.3,Flex,Manual,Mecânica,Branco,,,27250510,Volta Redonda,Água Limpa,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-898508998
"Carros, vans e utilitários",GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,Hatch,2020,39000,1.0,Flex,Automático,Elétrica,Azul,4 portas,,28605220,Nova Friburgo,Centro,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/gm-onix-premier-1-0-turbo-2020-898508956
"Carros, vans e utilitários",BMW 320IA,BMW,Sedã,2011,95000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Branco,4 portas,7,28333000,Itaperuna,Raposo,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-pg51-2-0-2010-11-898509427
"Carros, vans e utilitários",HONDA CIVIC SEDAN EX 2.0 FLEX 16V AUT.4P,HONDA,Sedã,2017,44000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,9,21341332,Rio de Janeiro,Madureira,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-g10-ex-unico-dono-18-000-1-520-37-893423914
"Carros, vans e utilitários",FORD KA 1.0 SEL TIVCT FLEX 5P,FORD,Hatch,2016,45000,1.0,Flex,Manual,Elétrica,Vermelho,4 portas,,22720380,Rio de Janeiro,Taquara,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-sel-manual-flex-unica-dona-top-radio-sync-rodas-vidro-eletrico-4p-so-45000km-898509408
"Carros, vans e utilitários",FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,Hatch,2010,73000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,1,21932819,Rio de Janeiro,Portuguesa,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-2010-1-0-flex-4p-manual-898508689
"Carros, vans e utilitários",FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,Passeio,2018,53687,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,4 portas,8,28893160,Rio das Ostras,Bosque da Praia,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-titanium-2-0-16v-aut-flex-839583353
"Carros, vans e utilitários",FORD FIESTA TITANIUM 1.6 16V FLEX MEC.,FORD,Hatch,2014,60000,1.6,Flex,Manual,Elétrica,Prata,4 portas,0,21341331,Rio de Janeiro,Madureira,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-new-fiesta-titanium-1-6-completissimo-couro-2014-871252084
"Carros, vans e utilitários",FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,Hatch,2013,89000,1.0,Gás Natural,Manual,Hidráulica,Branco,4 portas,7,21235111,Rio de Janeiro,Irajá,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiesta-1-0-8v-completo-gnv-ano-2013-888652044
"Carros, vans e utilitários",FORD FIESTA SE 1.6 16V FLEX 5P,FORD,Passeio,2016,44000,1.6,Flex,Manual,Elétrica,Prata,4 portas,4,21720161,Rio de Janeiro,Padre Miguel,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-se-2016-unico-dono-882550504
"Carros, vans e utilitários",RENAULT LOGAN,RENAULT,Passeio,2020,21000,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,3,21331596,Rio de Janeiro,Bento Ribeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-2020-1-0-12v-sce-flex-life-manual-898508846
"Carros, vans e utilitários",FIAT ARGO HGT 1.8 AT,FIAT,Passeio,2021,0,,Flex,Automático,,,4 portas,,20771001,Rio de Janeiro,Cachambi,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-1-8-e-torq-hgt-664021925
"Carros, vans e utilitários",FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P,FIAT,Hatch,2010,113000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,2,28940000,São Pedro da Aldeia,,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/uno-fire-flex-2010-898508302
"Carros, vans e utilitários",GM - CHEVROLET PRISMA,GM - CHEVROLET,Passeio,2016,26000,1.4,Flex,Manual,Hidráulica,Preto,4 portas,8,26255620,Nova Iguaçu,da Luz,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-prisma-2016-1-4-mpfi-ltz-8v-flex-4p-manual-898508396
"Carros, vans e utilitários",NISSAN LIVINA,NISSAN,Hatch,2013,2,1.8,Flex,Automático,Hidráulica,Prata,4 portas,3,21750120,Rio de Janeiro,Magalhães Bastos,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-livina-sl-2013-completo-gnv-ipva-transferencia-898508296
"Carros, vans e utilitários",VW - VOLKSWAGEN T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT.,VW - VOLKSWAGEN,SUV,2020,23000,1.0,Flex,Automático,Elétrica,Preto,4 portas,4,21331720,Rio de Janeiro,Oswaldo Cruz,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-t-cross-tsi-2020-ipva-2021-gratis-842227128
"Carros, vans e utilitários",FIAT FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT,,2021,0,1.4,Flex,Manual,Hidráulica,Branco,4 portas,2,24750200,São Gonçalo,Tribobó,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-fiorino-endurance-1-4-884311085
"Carros, vans e utilitários",GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,Sedã,2019,40000,1.8,Flex,Automático,Elétrica,Preto,4 portas,4,21750000,Rio de Janeiro,Jardim Sulacap,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cobalt-ltz-automatico-1-8-2019-completo-889839679
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2011,66000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,7,27310121,Barra Mansa,Centro,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-g5-2011-66-000-km-898507937
"Carros, vans e utilitários",RENAULT SANDERO,RENAULT,Passeio,2020,0,1.0,Flex,Manual,Mecânica,Preto,4 portas,4,21330790,Rio de Janeiro,Oswaldo Cruz,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-2020-1-0-12v-sce-flex-zen-manual-885781156
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,Hatch,2019,51000,1.0,Flex,Automático,Elétrica,Prata,4 portas,7,28605220,Nova Friburgo,Centro,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/polo-highline-1-0-tsi-2019-898507876
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2017,66000,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,9,22743900,Rio de Janeiro,Pechincha,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-lt-1-0-mpfi-8v-flex-manual-2017-881303447
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2018,79000,2.0 - 2.9,Gás Natural,Automático,Elétrica,Preto,4 portas,0,24358580,Niterói,Camboinhas,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2018-gnv-898477659
"Carros, vans e utilitários",HYUNDAI CRETA,HYUNDAI,Passeio,2019,21000,1.6,Flex,Automático,Elétrica,Branco,4 portas,9,21341331,Rio de Janeiro,Madureira,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-2019-1-6-16v-flex-smart-automatico-850036765
"Carros, vans e utilitários",FIAT MOBI,FIAT,Passeio,2018,0,1.0,Flex,Manual,Elétrica,Branco,4 portas,8,25565171,São João de Meriti,Jardim José Bonifácio,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-2018-1-0-firefly-flex-drive-manual-890139299
"Carros, vans e utilitários",MITSUBISHI ASX HPE FWD 2.0 16V FLEX AUT.,MITSUBISHI,SUV,2020,6000,2.0 - 2.9,Flex,Automático,Elétrica,Cinza,4 portas,4,22640101,Rio de Janeiro,Barra da Tijuca,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/asx-20-falar-com-ivan-melo-concessionaria-mitsubishi-874004997
"Carros, vans e utilitários",GM - CHEVROLET ASTRA ADVANTAGE 2.0 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2007,198000,2.0 - 2.9,Gás Natural,Manual,Hidráulica,Preto,4 portas,7,21832150,Rio de Janeiro,Senador Camará,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/astra-2007-2-0-leia-o-anuncio-898507332
"Carros, vans e utilitários",FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V  5P,FORD,Hatch,2016,83900,1.6,Flex,Manual,Elétrica,Branco,4 portas,1,28660000,Bom Jardim,,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-se-1-6-hatch-2016-manual-898507480
"Carros, vans e utilitários",TOYOTA ETIOS XS 1.5 FLEX 16V 5P MEC.,TOYOTA,Hatch,2015,67000,1.5,Flex,Manual,Elétrica,Prata,4 portas,0,24358350,Niterói,Piratininga,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/etios-1-5-xs-manual-2015-falar-c-jonathan-mitsubishi-natsu-898507079
